Filename, Energy, Contrast, Homogenity, IDM, Entropy, Mean1, Cluster Shade, Cluster Prominence, Shapes Detected, Circle, Triangle, Rectangle, Irregular Small, Irregular Large, Circle Area, Triangle Area, Rectangle Area, Irreg. S. Area, Irreg. L Area
20180630-IMG_0843__2,0.677645,9.434744,0.950098,0.051303,0.560556,6.062078,74685.281250,6085271.500000,62,3,0,0,52,7,0.000000,-nan(ind),inf,1562.644287,23530.857422
20180630-IMG_0843__3,0.843833,4.956421,0.970080,0.028979,0.296478,2.149435,17431.658203,1175306.625000,56,3,0,1,48,4,0.000000,inf,3298.000000,3300.218750,18595.875000
20180630-IMG_0836__0,0.933981,13.697645,0.979638,0.012193,0.126096,1.234014,43701.484375,5980955.000000,55,0,0,0,53,2,-nan(ind),-nan(ind),-nan(ind),1561.396240,22854.750000
20180630-IMG_0836__1,0.586433,16.888165,0.924584,0.074484,0.761664,7.834245,107372.945313,9511523.000000,80,5,0,0,69,6,0.000000,-nan(ind),inf,1530.521729,17501.916016
20180630-IMG_0836__2,0.973108,6.039100,0.991196,0.005170,0.056318,0.432115,14986.880859,2045539.500000,31,0,0,0,30,1,-nan(ind),-nan(ind),-nan(ind),1195.400024,12284.500000
20180630-IMG_0836__3,0.473886,15.980956,0.916837,0.091679,0.958903,8.372692,86253.250000,7129818.000000,68,5,1,0,58,4,20637.000000,0.000000,inf,1682.163818,44556.875000
20180630-IMG_0877__0,0.740126,3.639323,0.951179,0.041145,0.413512,2.429504,8340.683594,353202.218750,51,1,0,1,41,8,0.000000,inf,1033.000000,1574.841431,36231.000000
20180630-IMG_0877__1,0.692109,11.665887,0.935803,0.061664,0.566054,5.078417,54175.734375,4172232.750000,84,3,0,0,71,10,0.000000,-nan(ind),inf,2311.155029,30844.550781
20180630-IMG_0877__2,0.165156,6.000491,0.916015,0.134265,1.357919,15.624423,100753.375000,6288799.000000,24,3,1,0,14,6,39634.667969,0.000000,inf,2747.821533,17350.333984
20180630-IMG_0877__3,0.437187,18.518139,0.897953,0.115929,1.019410,11.125891,135029.359375,11332571.000000,85,6,0,0,64,15,0.000000,-nan(ind),inf,1549.781250,24506.199219
20180630-IMG_0835__0,0.767501,67.790939,0.918286,0.046138,0.410945,4.549377,165181.421875,23039750.000000,72,0,0,0,69,3,-nan(ind),-nan(ind),-nan(ind),1250.543457,26310.500000
20180630-IMG_0835__1,0.602891,32.996578,0.897025,0.089694,0.816259,9.018418,211549.421875,24853696.000000,59,0,0,1,52,6,-nan(ind),inf,0.000000,1637.807739,47318.082031
20180630-IMG_0835__2,0.215431,25.309135,0.870187,0.168957,1.545814,17.396751,288976.375000,30430518.000000,50,7,0,0,39,4,0.000000,-nan(ind),inf,1024.743530,14810.875000
20180630-IMG_0835__3,0.943402,4.775399,0.983131,0.010850,0.128893,0.803101,10532.553711,916543.250000,34,2,1,0,27,4,1787.500000,0.000000,inf,1320.555542,15001.375000
